   I,   II,  III,  AVR,  AVL,  AVF,   V1,   V2,   V3,   V4,   V5,   V6, RV, MapD, MapP, P 1
  -7,-152,-152,  67,  66,-151, 137, 190, 412, 293,  57, -74, -34, 391,   3, 734
  -5,-140,-142,  60,  62,-140, 138, 176, 450, 345,  90, -52, -34,-116,  -5, 735
  -4,-126,-129,  52,  56,-127, 139, 157, 487, 400, 126, -28, -29,-196, -14, 734
  -2,-109,-114,  42,  49,-110, 131, 135, 525, 459, 167,   2, -17,-324,  -9, 734
  -1, -85, -92,  30,  39, -87, 115, 107, 564, 523, 214,  37, -22,-125, -20, 734
  -1, -58, -64,  16,  25, -59,  90,  70, 605, 592, 267,  77, -31, 371,  -1, 734
   1, -29, -37,   1,  12, -31,  53,  24, 642, 662, 321, 120, -26, 359, -11, 734
   6,  -1, -14, -16,   4,  -6,   6, -28, 673, 732, 378, 164, -15,-750,   2, 734
  19,  23,  -3, -34,   4,  11, -50, -84, 702, 798, 434, 207,  -6,-457,  -6, 734
  33,  41,   1, -50,   9,  21,-112,-143, 727, 859, 487, 248, -22,-213,  -8, 734
  47,  58,   5, -66,  14,  32,-177,-201, 750, 916, 536, 287,  -8, 465, -20, 734
  57,  75,  12, -79,  16,  44,-243,-256, 771, 969, 582, 327,  17, 458, -29, 734
  63,  87,  18, -88,  16,  53,-308,-311, 790,1017, 625, 363,   6,-131,  -3, 734
  70,  96,  20, -96,  18,  58,-377,-364, 806,1058, 660, 394, -29, -62,  -9, 734
  72, 103,  26,-101,  17,  65,-446,-411, 826,1097, 695, 426, -43, 298, -12, 734
  73, 112,  33,-106,  14,  72,-517,-452, 848,1133, 727, 456, -46,-873,   2, 734
  75, 122,  41,-112,  11,  82,-586,-489, 867,1162, 754, 483, -48,-498, -23, 734
  81, 131,  43,-120,  13,  87,-653,-525, 878,1179, 772, 504, -69, -97,  -5, 734
  93, 136,  37,-129,  22,  87,-716,-556, 886,1187, 782, 517, -91,   9,  11, 734
 106, 141,  30,-138,  32,  85,-774,-588, 886,1184, 786, 525,-113, 876,  -6, 734
 113, 145,  26,-143,  38,  85,-829,-623, 877,1174, 786, 533,-117, 280,  -3, 733
 114, 146,  26,-144,  38,  86,-875,-657, 866,1162, 784, 540, -83,  63, -11, 733
 114, 145,  24,-143,  39,  84,-914,-685, 855,1144, 779, 545, -76,-256,  22, 733
 117, 141,  17,-143,  44,  79,-948,-708, 842,1118, 768, 545,-113,-159, -29, 733
 122, 139,  11,-144,  49,  75,-975,-723, 830,1086, 751, 542,-158,  -6, -34, 732
 123, 140,  11,-145,  49,  75,-995,-734, 823,1055, 732, 536,-176, 416, -12, 732
 122, 141,  13,-145,  48,  76,-1012,-739, 819,1021, 711, 527,-103, 567,   8, 732
 119, 139,  13,-143,  47,  75,-1031,-749, 804, 978, 683, 513,  40,-748,   3, 732
 121, 135,   8,-142,  50,  71,-1045,-765, 765, 919, 644, 492,  19,-519,  -8, 731
 118, 131,   7,-138,  49,  69,-1053,-792, 709, 847, 594, 464,-153,-252, -37, 731
 109, 127,  13,-132,  41,  70,-1053,-823, 638, 760, 536, 428,-300, 420,  -8, 731
  92, 121,  23,-120,  27,  72,-1042,-855, 553, 663, 472, 388,-369, 461,  11, 731
  72, 115,  37,-107,  10,  76,-1025,-894, 452, 560, 406, 349,  14, -35,  -3, 731
  51, 115,  57, -97, -10,  86,-1003,-938, 340, 452, 339, 309, 708, -96, -29, 730
  28, 117,  83, -86, -35, 100,-977,-980, 227, 351, 278, 274,1289, 541,  -8, 730
   4, 119, 110, -75, -60, 115,-953,-1016, 119, 256, 222, 242,1884,-740,   6, 730
 -19, 122, 134, -66, -84, 128,-932,-1047,  16, 167, 169, 211,2700,-414, -18, 730
 -36, 129, 157, -61,-104, 144,-918,-1075, -81,  85, 119, 180,3164,-114,  -6, 730
 -44, 143, 179, -64,-119, 161,-913,-1105,-179,   8,  75, 154,1858,   3,   9, 729
 -44, 164, 200, -74,-129, 182,-908,-1133,-275, -62,  40, 136,-910, 793, -14, 729
 -44, 189, 225, -87,-141, 207,-900,-1156,-363,-120,  16, 127,-2464, 300, -20, 729
 -50, 212, 252, -95,-158, 232,-890,-1177,-442,-166,   1, 122,-3165, -68, -18, 728
 -56, 230, 277,-101,-173, 254,-877,-1189,-509,-203,  -9, 121,-3165,-505,   5, 728
 -60, 249, 300,-108,-187, 274,-864,-1200,-569,-234, -19, 118,-2277,-320,   2, 727
 -64, 267, 323,-116,-200, 295,-842,-1206,-619,-261, -29, 115, 476,  71, -14, 727
 -70, 284, 345,-121,-215, 314,-814,-1204,-655,-281, -37, 111,1714, 413,  -6, 727
 -72, 301, 365,-129,-225, 333,-788,-1201,-680,-293, -40, 108,1668, 255, -26, 727
 -70, 315, 377,-137,-230, 346,-764,-1196,-699,-297, -40, 108,1170,-700,   0, 726
 -63, 321, 377,-143,-227, 349,-745,-1188,-709,-301, -42, 105, 618,-408,  -3, 726
 -60, 321, 373,-144,-224, 347,-727,-1180,-713,-304, -46,  98, 243,-212,  -9, 726
 -59, 318, 368,-143,-221, 343,-707,-1163,-711,-306, -51,  90,  43, 396, -25, 726
 -61, 309, 361,-138,-218, 334,-681,-1135,-701,-306, -55,  83,   9, 326,   6, 725
 -64, 295, 350,-129,-214, 322,-652,-1098,-686,-307, -60,  75,  -6,-100,  -8, 725
 -65, 280, 335,-121,-207, 306,-622,-1055,-668,-308, -67,  67, -26,-141,  -3, 725
 -68, 262, 321,-110,-202, 290,-589,-1009,-648,-307, -71,  60, -60, 898,  19, 725
 -72, 241, 304, -98,-195, 271,-557,-961,-628,-307, -76,  52, -80,-644,  -9, 724
 -75, 221, 287, -87,-187, 253,-525,-912,-609,-307, -81,  45, -69,-487, -26, 724
 -71, 205, 267, -80,-175, 234,-498,-863,-589,-306, -85,  39, -68,-241, -32, 724
 -58, 194, 244, -82,-157, 218,-478,-818,-570,-304, -89,  31, -83,-164,  -3, 723
 -43, 185, 221, -85,-138, 202,-460,-780,-552,-303, -94,  22, -96, 720,  -3, 723
 -33, 175, 200, -85,-123, 187,-443,-747,-540,-303, -98,  15, -93, 346,  -9, 723
 -27, 164, 183, -82,-111, 173,-426,-716,-529,-302,-102,  10, -40, 133, -12, 722
 -25, 154, 171, -78,-104, 162,-405,-689,-523,-302,-105,   5,  17,  -1,  11, 722
 -28, 146, 165, -72,-103, 155,-382,-661,-513,-300,-105,   2,  25,-196,   3, 721
 -35, 138, 164, -65,-106, 150,-359,-629,-497,-295,-105,  -1,  11,-221, -14, 721
 -39, 133, 162, -60,-107, 147,-336,-592,-474,-285,-103,  -4,  12, 232,  -6, 720
 -37, 131, 159, -61,-104, 145,-312,-553,-449,-275, -99,  -6,  28, 312, -43, 720
 -31, 128, 151, -62, -98, 139,-290,-517,-427,-265, -97,  -8,  40,-657,  -9, 719
 -25, 118, 134, -61, -86, 125,-273,-484,-405,-256, -96, -14,  43,-312, -26, 719
 -17, 107, 115, -59, -72, 111,-258,-451,-386,-249, -97, -22,  36,-120,   6, 719
 -10, 100, 102, -58, -63, 101,-242,-420,-368,-244,-100, -29,  36, 455,  17, 718
  -8,  96,  96, -58, -58,  96,-224,-390,-348,-238,-102, -35,  40, 399, -20, 716
 -10,  89,  91, -53, -57,  90,-203,-360,-329,-232,-103, -40,  36,-153, -31, 716
 -11,  82,  84, -49, -54,  83,-181,-329,-310,-224,-104, -46,  33,   3, -15, 715
 -14,  74,  80, -43, -53,  77,-158,-299,-291,-217,-103, -49,  25, 416,  11, 714
 -18,  66,  76, -37, -54,  71,-137,-271,-274,-210,-102, -53,  14,-920, -14, 714
 -22,  58,  72, -31, -54,  65,-115,-245,-257,-205,-103, -57,   8,-502,   5, 713
 -25,  49,  65, -25, -51,  57, -97,-223,-243,-200,-105, -63,   2,-349,   2, 713
 -22,  44,  56, -24, -45,  50, -83,-203,-231,-193,-106, -69,  -3,   6,  -8, 712
 -18,  44,  53, -26, -42,  49, -74,-185,-218,-184,-104, -73,  -9,1104,   6, 712
 -19,  46,  56, -27, -44,  51, -65,-166,-205,-174, -99, -72, -12, 383, -26, 712
 -26,  47,  64, -24, -51,  55, -56,-152,-194,-164, -93, -69,  -8, 345, -15, 711
 -33,  48,  72, -21, -59,  59, -50,-143,-188,-156, -86, -65,  -6, -93,   6, 710
 -39,  45,  76, -17, -64,  60, -46,-136,-185,-149, -78, -60,  -9,-428,  -1, 709
 -46,  43,  80, -12, -70,  61, -40,-131,-179,-141, -72, -57,  -9,-324, -39, 708
 -54,  40,  85,  -6, -77,  63, -29,-122,-171,-135, -70, -54,  -8, 252, -20, 707
 -57,  40,  87,  -5, -79,  63, -20,-113,-162,-128, -67, -51,  -5, 301,   2, 707
 -53,  41,  85,  -7, -75,  62, -12,-101,-150,-119, -60, -46,  -6,-644,  11, 706
 -41,  42,  74, -14, -63,  58,  -4, -86,-136,-109, -55, -43,  -8,-468,   3, 705
 -27,  43,  61, -22, -50,  52,   6, -68,-122, -99, -50, -42,  -9, -86,  -5, 705
 -16,  41,  48, -26, -37,  44,  16, -51,-109, -93, -47, -43, -11, 495, -17, 705
 -10,  37,  39, -26, -31,  37,  27, -36, -97, -88, -46, -45,  -9, 566, -18, 704
  -9,  32,  33, -25, -27,  32,  37, -22, -88, -83, -44, -46,  -9,-137, -12, 703
  -7,  27,  25, -24, -22,  26,  42, -11, -81, -80, -44, -48,  -5,-178,  -8, 703
  -7,  19,  17, -20, -18,  18,  47,  -1, -73, -76, -43, -48,  -5,  88,  -9, 703
  -9,   9,   9, -13, -15,   8,  55,  10, -66, -73, -42, -49,  -6,-1256,  -6, 702
 -13,  -2,   2,  -6, -14,   0,  64,  22, -59, -70, -42, -50,  -5, 824,  -1, 702
 -13,  -9,  -4,  -2, -12,  -6,  72,  32, -51, -68, -43, -52,  -5,-1091,   9, 701
 -12, -11,  -6,  -1, -10,  -8,  75,  38, -45, -65, -43, -55,  -6, 910,   2, 700
 -12, -12,  -7,  -1, -10,  -9,  76,  44, -40, -62, -44, -58,  -3,  22,  -6, 700
 -13, -14,  -8,   1, -10, -11,  76,  50, -35, -60, -44, -59,  -6,1257, -25, 699
 -16, -20, -10,   5, -10, -15,  77,  54, -31, -59, -45, -61,  -6, 340, -23, 698
 -20, -26, -13,  10, -11, -19,  77,  54, -31, -60, -48, -63,  -6,-528,  -9, 698
 -21, -29, -16,  12, -10, -23,  76,  54, -33, -61, -51, -66, -12,-685,  -5, 697
 -22, -30, -16,  14, -10, -23,  78,  57, -34, -61, -51, -66, -14,-369, -20, 697
 -27, -30, -12,  16, -15, -21,  82,  60, -35, -61, -51, -65, -11, 254, -17, 697
 -31, -29,  -7,  17, -19, -18,  84,  62, -33, -59, -48, -64,  -9, 300,   2, 696
 -31, -28,  -4,  17, -20, -16,  86,  66, -29, -56, -44, -63,  -3,-555,   5, 696
 -25, -28, -11,  14, -14, -19,  87,  69, -26, -55, -43, -63,  -6,-546,  12, 695
 -19, -30, -19,  11,  -7, -24,  88,  72, -26, -54, -43, -65,  -3, 352,  -3, 694
 -16, -31, -23,  10,  -3, -27,  92,  77, -25, -52, -42, -64,  -5, 540,  -5, 693
 -14, -29, -23,   8,  -3, -26,  97,  82, -21, -50, -39, -62,  -8, 260, -35, 692
 -14, -27, -21,   6,  -3, -23, 101,  84, -17, -46, -36, -60,  -8,-275, -31, 691
 -13, -25, -21,   5,  -3, -22, 105,  88, -13, -43, -34, -59,  -9,-204, -17, 691
 -17, -28, -19,  10,  -7, -24, 110,  93,  -5, -40, -31, -57, -11, 374,  -9, 691
 -28, -37, -18,  19, -12, -28, 110,  98,  -2, -39, -31, -57,  -9,-759,  22, 690
 -39, -48, -17,  30, -18, -33, 112, 102,   0, -38, -32, -57,  -5,-375,  17, 690
 -44, -55, -19,  37, -19, -38, 115, 105,   1, -38, -33, -60,  -6,-139,  -3, 689
 -43, -59, -23,  38, -16, -41, 114, 107,   2, -40, -36, -64,  -8,-117, -29, 688
  13, -58, -81,   6,  45, -71,  86,  84, -18, -59, -61, -96,  -3,3164,-476, 687
 173, -43,-221, -78, 191,-132,   8,  31, -65, -88,-108,-155, -11,-3165,   8, 686
  96, -37,-139, -41, 107, -86,  38,  61, -38, -50, -78,-124,  -9,-3165, 499, 686
 -75, -41,  25,  47, -61,  -6, 119, 120,  11,  -3, -23, -61,  -3,3164, 220, 685
-215, -50, 156, 121,-195,  54, 191, 169,  50,  22,  20,  -8,  -5,3164,  20, 685
-296, -56, 230, 164,-271,  87, 240, 202,  71,  29,  46,  26,  -8,3164,-120, 685
-328, -58, 260, 181,-301, 100, 268, 216,  81,  24,  60,  46,  -8,1567, -90, 684
-324, -58, 258, 178,-298,  99, 279, 218,  80,  12,  65,  54,  -9,-3165, -66, 683
-301, -58, 235, 167,-275,  88, 277, 219,  78,  -2,  64,  55,  -8,-3165, -12, 683
-267, -62, 196, 151,-238,  66, 265, 215,  73, -17,  58,  49,  -5,-3165, -12, 682
-230, -69, 154, 136,-198,  42, 254, 207,  63, -32,  50,  40,  -5,-2278,  -5, 681
-199, -75, 116, 124,-163,  20, 246, 200,  55, -46,  40,  30,  -6,-960, -31, 681
-173, -79,  86, 112,-136,   4, 237, 195,  53, -55,  34,  23,  -8,-334,   2, 681
-151, -80,  63, 103,-113,  -9, 227, 192,  53, -60,  31,  18,  -9,-733,   6, 680
-132, -83,  42,  95, -93, -21, 217, 188,  51, -67,  26,  11,  -8,-348, -18, 680
-118, -87,  24,  90, -78, -32, 213, 188,  52, -69,  23,   5,  -8, 464, -23, 679
-109, -92,   9,  88, -65, -42, 210, 189,  55, -70,  21,   1,  -9,-913,  -1, 679
-102, -98,  -3,  87, -56, -51, 208, 190,  57, -71,  18,  -3,  -8,-176,  17, 679
 -93,-100, -15,  83, -46, -58, 205, 190,  57, -74,  13,  -9,  -5,-187,  11, 678
 -78, -98, -28,  74, -31, -64, 199, 188,  52, -78,   8, -17,  -5,-286, -28, 677
 -59, -93, -41,  62, -15, -67, 191, 182,  46, -83,   1, -24,  -8, 629, -28, 676
 -42, -85, -51,  49,  -1, -68, 185, 175,  43, -84,  -2, -29,  -6, 371,   0, 676
 -31, -78, -54,  41,   6, -66, 183, 172,  47, -81,  -2, -31,  -6,  74,  -5, 676
 -25, -72, -55,  35,   8, -63, 183, 173,  50, -76,  -0, -31,  -8, -63, -11, 675
 -21, -66, -52,  30,   9, -59, 184, 175,  51, -73,   0, -32,  -9,-218, -15, 675
 -19, -61, -49,  26,   8, -54, 185, 175,  54, -71,   1, -33,  -8,-199, -37, 675
 -21, -57, -44,  25,   4, -50, 184, 177,  59, -69,   3, -33,  -8, 493,  -3, 674
 -22, -55, -41,  25,   3, -48, 179, 175,  60, -67,   3, -34,  -6, 345,  -8, 674
 -18, -53, -44,  22,   6, -49, 173, 172,  60, -67,   3, -36,  -5,-688,   3, 673
 -10, -54, -52,  18,  15, -53, 167, 170,  57, -68,   0, -39,  -5,-416,   3, 673
  -3, -55, -61,  15,  22, -58, 163, 169,  56, -69,  -1, -41,  -6,-151, -23, 673
   2, -55, -65,  13,  27, -61, 160, 170,  58, -67,  -1, -42,  -6, 672,  -9, 672
  36, -55, -99,  -5,  62, -78, 143, 159,  48, -76, -14, -59,  -6,2267,-210, 671
  52, -53,-113, -13,  75, -83, 134, 155,  44, -75, -20, -67, -11,-3165, 121, 671
  12, -55, -75,   9,  35, -64, 151, 170,  56, -63,  -9, -54,  -8,-969, 150, 670
 -40, -61, -29,  37, -13, -45, 176, 190,  72, -50,   5, -36,  -6,3164,  33, 670
 -77, -71,  -2,  61, -45, -36, 193, 205,  82, -44,  15, -24,  -6,3164, -42, 670
 -95, -78,  10,  73, -59, -34, 205, 213,  85, -44,  20, -17,  -8,1496, -35, 669
 -99, -83,   9,  78, -60, -38, 211, 215,  85, -47,  20, -16,  -6,-709, -31, 669
 -91, -84,   1,  74, -53, -42, 210, 213,  85, -50,  17, -21,  -6,-1385, -32, 668
 -80, -83, -10,  68, -42, -47, 203, 208,  81, -55,  11, -26,  -8,-397,  -3, 668
 -69, -83, -21,  64, -31, -53, 194, 205,  79, -56,   8, -31,  -6,-482,   6, 667
 -62, -87, -32,  62, -22, -60, 185, 202,  77, -58,   6, -35,  -8,-496, -31, 667
 -57, -90, -41,  60, -15, -65, 178, 200,  78, -58,   4, -38,  -9,-141, -23, 667
 -50, -89, -46,  57,  -9, -68, 172, 201,  76, -58,   4, -40,  -6,-527, -18, 668
 -44, -84, -47,  51,  -5, -65, 167, 200,  76, -58,   3, -40,  -9,  82,  -8, 668
 -40, -76, -43,  45,  -5, -59, 166, 201,  80, -56,   5, -39,  -8, 458,   2, 668
 -36, -65, -38,  37,  -6, -51, 167, 201,  83, -53,   7, -37,  -5, 169,  -9, 669
 -27, -55, -35,  27,  -2, -45, 168, 201,  86, -49,  10, -34,  -5,-830, -14, 669
 -15, -47, -40,  18,   6, -44, 167, 199,  87, -47,  13, -33,  -8,-513, -11, 669
  -6, -45, -47,  12,  14, -46, 164, 199,  88, -46,  13, -35,  -8,-205,   9, 669
   0, -47, -55,  10,  21, -51, 162, 200,  87, -46,  10, -37,  -6, 400,  -9, 670
   1, -48, -57,  11,  22, -52, 166, 204,  89, -45,  10, -35,  -5, 540, -20, 671
   1, -46, -54,  10,  21, -50, 173, 208,  93, -41,  11, -32,  -5, -85,   2, 672
   2, -43, -52,   7,  21, -47, 181, 211,  98, -37,  12, -30,  -8,-108, -14, 673
  -1, -42, -48,   9,  17, -45, 188, 214, 102, -33,  15, -27,  -8, 417, -14, 673
  -7, -45, -45,  13,  13, -45, 194, 213, 104, -32,  16, -27,  -8,-865, -11, 674
 -10, -49, -46,  17,  11, -48, 199, 213, 104, -32,  14, -28,  -8,-447, -17, 675
 -10, -53, -51,  19,  14, -52, 203, 213, 102, -35,  11, -30,  -6,-173,   2, 677
  -2, -54, -61,  15,  23, -57, 202, 209,  96, -39,   6, -35,  -6, -77,   9, 678
   6, -55, -69,  12,  31, -62, 198, 203,  90, -41,  -1, -42,  -6, 808, -15, 679
  10, -55, -73,  10,  35, -64, 194, 199,  85, -43,  -5, -46,  -6, 376,   6, 681
   8, -53, -69,  10,  32, -61, 191, 198,  84, -42,  -5, -47,  -9,  53, -11, 684
   9, -49, -66,   7,  31, -58, 188, 198,  85, -39,  -6, -48,  -6,2944,-114, 686
  52, -41,-100, -19,  70, -70, 167, 185,  78, -42, -17, -62, -11,-3165,-117, 689
  41, -32, -80, -17,  54, -56, 173, 195,  90, -28,  -9, -54, -11,-3165, 156, 692
  -8, -26, -25,   5,   1, -25, 196, 216, 111, -10,  10, -34,  -6,3164, 107, 694
 -52, -22,  21,  25, -44,  -1, 215, 232, 123,  -1,  24, -17,  -6,3164,   6, 698
 -74, -19,  46,  35, -68,  13, 225, 238, 128,   4,  33,  -6,  -5,3080, -37, 702
 -79, -21,  48,  37, -70,  13, 230, 239, 125,   1,  34,  -4,  -1, 326, -45, 706
 -73, -28,  36,  38, -61,   3, 231, 235, 119,  -6,  30,  -8,  -6,-739, -25, 711
 -65, -35,  21,  38, -49,  -8, 230, 232, 113, -13,  26, -13,  -5,-660, -18, 716
 -60, -40,  11,  37, -42, -16, 229, 230, 107, -18,  21, -19,  -6,-165, -17, 722
 -56, -44,   4,  37, -36, -21, 225, 228, 105, -22,  17, -23,  -8,-692,  -6, 729
 -52, -46,  -2,  36, -31, -25, 221, 229, 104, -24,  14, -26,  -8,-757,  -8, 735
 -51, -49,  -6,  37, -29, -27, 220, 234, 105, -24,  14, -26,  -9,  20, -22, 743
 -55, -53,  -6,  41, -31, -30, 222, 240, 109, -22,  17, -24,  -8,-1051,  -9, 750
 -55, -57, -10,  43, -30, -33, 222, 242, 113, -20,  16, -26,  -9,-521,   5, 759
 -49, -59, -18,  40, -22, -39, 217, 242, 113, -23,  13, -28,  -6,-226,  -1, 768
 -35, -56, -29,  32, -10, -42, 207, 239, 111, -26,   7, -34,  -1,-131,   6, 777
 -17, -46, -37,  18,   3, -41, 200, 235, 108, -28,   2, -40,  -3, 793,  -3, 787
  -2, -36, -42,   5,  13, -39, 198, 234, 108, -27,   0, -42,  -5, 570,  -9, 798
   6, -29, -43,  -2,  18, -36, 198, 235, 109, -24,   1, -41,  -8, 136,   2, 808
   9, -25, -42,  -5,  18, -33, 196, 237, 112, -19,   4, -40,  -8, -48,  -8, 820
   7, -23, -38,  -6,  15, -30, 193, 241, 115, -14,   6, -38,  -8,-230, -32, 832
   4, -20, -31,  -6,  11, -25, 190, 244, 120,  -8,  10, -36,  -9,-286,  -6, 844
  -1, -16, -22,  -6,   4, -19, 193, 249, 125,  -2,  14, -33,  -8, 264, -20, 857
  -6, -13, -14,  -5,  -2, -13, 198, 253, 129,   3,  19, -30,  -6, 365, -20, 871
  -9, -12, -12,  -3,  -5, -12, 201, 254, 130,   8,  24, -28,  -3,-691,   2, 884
  -6, -14, -15,  -4,  -2, -15, 198, 251, 128,   8,  23, -30,  -5,-457,   2, 899
  -2, -16, -20,  -5,   3, -18, 196, 250, 127,   9,  19, -34,  -3, -18,  11, 914
   1, -16, -24,  -7,   6, -20, 197, 250, 124,   7,  15, -36,  -1, 680, -26, 929
   2, -16, -25,  -7,   6, -20, 200, 251, 120,   7,  13, -38,  -5, 487,  -9, 945
   1, -14, -23,  -7,   5, -18, 204, 254, 122,  11,  16, -37,  -6,-215,  -9, 962
   2, -11, -20,  -8,   4, -15, 206, 259, 129,  16,  19, -35,  -3,-204, -15, 978
  24, -10, -42, -21,  28, -27, 196, 254, 128,  14,  12, -44,  -5,3164,-246, 994
  53,  -9, -70, -35,  55, -40, 185, 249, 123,  13,   5, -54, -11,-3165,  71,1011
  21, -11, -39, -18,  22, -25, 204, 267, 135,  25,  14, -42, -11,-3165, 187,1029
 -26, -14,   3,   7, -22,  -5, 229, 289, 148,  35,  26, -28, -12,3164,  70,1046
 -54, -15,  31,  22, -50,   8, 244, 300, 154,  38,  31, -20, -12,3164,  -8,1063
 -64, -12,  44,  25, -60,  16, 251, 303, 157,  37,  33, -17, -11,3164, -40,1080
 -65, -11,  45,  25, -61,  17, 252, 307, 159,  37,  34, -14, -12, 564, -63,1097
 -63, -11,  43,  24, -60,  16, 255, 315, 166,  40,  38,  -9, -11,-1120, -23,1114
 -60, -12,  39,  22, -56,  14, 259, 322, 172,  42,  41,  -7,  -8,-1371,  -5,1131
 -54, -12,  34,  19, -51,  11, 260, 325, 174,  42,  42,  -7,  -8,-1057, -14,1148
 -47, -10,  29,  14, -44,  10, 260, 325, 174,  40,  41,  -9,  -8,-790, -29,1164
 -40,  -5,  27,   9, -41,  12, 262, 324, 175,  39,  40,  -9,  -6,  -1, -31,1180
 -34,   0,  27,   3, -37,  14, 264, 324, 175,  38,  40, -10,  -6, 148, -12,1196
 -29,   3,  25,  -1, -34,  14, 266, 322, 174,  36,  38, -12,  -5,-692,  26,1212
 -19,   3,  14,  -5, -23,   9, 266, 319, 172,  35,  37, -14,  -5,-482,   3,1228
  -9,  -0,   2,  -9, -12,   1, 266, 316, 170,  34,  35, -17,  -3,-158, -29,1243
  -3,  -2,  -7, -11,  -5,  -4, 266, 312, 167,  32,  32, -20,  -8, 360, -22,1258
  -1,  -4, -10, -11,  -3,  -6, 266, 310, 164,  30,  29, -23,  -8, 499, -14,1272
  -3,  -5, -10, -10,  -3,  -7, 266, 309, 163,  28,  28, -26,  -6, -88,   6,1287
  -3,  -4,  -8, -11,  -4,  -6, 269, 310, 163,  27,  27, -26,  -6,-167, -34,1300
  -6,  -5,  -6,  -9,  -7,  -5, 274, 313, 163,  28,  28, -25,  -9, 436,  -3,1314
 -12,  -7,  -3,  -4, -11,  -5, 278, 316, 165,  30,  30, -23,  -9,-865,  25,1327
 -17, -13,  -3,   1, -13,  -8, 283, 319, 167,  31,  30, -21,  -6,-476,   8,1340
 -17, -17,  -6,   3, -12, -11, 285, 320, 163,  29,  27, -24,  -5,-241, -18,1352
 -11, -16, -11,  -1,  -6, -13, 282, 318, 162,  27,  24, -28,  -8, -65, -12,1364
  -2, -13, -17,  -6,   1, -15, 280, 318, 163,  29,  21, -32,  -8, 864,  -3,1375
   4, -11, -22, -11,   6, -16, 280, 319, 164,  32,  21, -36,  -5, 444, -18,1386
   4, -11, -21, -10,   6, -16, 277, 323, 166,  36,  22, -35,  -6,  80, -14,1396
  -0,  -9, -16,  -9,   1, -13, 276, 327, 169,  40,  23, -35,  -8,-108, -11,1405
  -6,  -9, -11,  -6,  -4, -10, 275, 329, 173,  44,  25, -35,  -8,-235, -14,1414
 -10,  -7,  -5,  -5,  -9,  -7, 274, 332, 174,  47,  26, -34,  -9, -83, -22,1423
 -13,  -4,   1,  -5, -14,  -2, 275, 336, 177,  50,  28, -32,  -8,2071, -46,1430
  31,   3, -36, -31,  27, -17, 255, 322, 164,  40,  14, -49,  -9,-2185,-176,1438
  36,   9, -34, -35,  27, -12, 249, 324, 166,  46,  16, -49,  -6,-3165, 186,1444
   0,  11,   3, -18,  -9,   8, 266, 340, 177,  59,  29, -34,  -3,1404, 152,1450
 -36,  10,  38,   0, -45,  24, 286, 357, 188,  70,  42, -19,  -1,3164,   0,1456
 -59,   9,  60,  12, -67,  35, 302, 368, 195,  74,  49, -11,  -5,3164, -52,1461
 -73,  11,  76,  18, -81,  43, 313, 376, 200,  76,  55,  -4,  -8,1683, -35,1465
 -78,  12,  82,  20, -86,  46, 321, 381, 203,  76,  58,  -1,  -6,-771, -35,1468
 -74,  12,  78,  17, -82,  45, 325, 385, 202,  74,  57,   0,  -6,-1386,  -8,1471
 -67,  13,  73,  14, -76,  43, 330, 389, 203,  75,  59,   2,  -8,-678,  -6,1473
 -61,  12,  66,  11, -70,  39, 333, 393, 207,  75,  60,   3,  -8,-1394, -12,1475
 -54,   9,  56,   9, -62,  33, 336, 398, 209,  73,  59,   2,  -6,-750, -29,1476
 -47,   7,  46,   7, -53,  26, 335, 399, 210,  71,  56,  -2,  -6,-360, -20,1476
 -37,   6,  35,   2, -42,  20, 328, 396, 208,  68,  51,  -7,  -5,-297, -15,1476
 -25,   6,  23,  -4, -30,  15, 321, 392, 204,  64,  45, -13,  -5, 621,   5,1475
 -15,   8,  15, -10, -20,  11, 315, 389, 202,  64,  43, -17,  -8, 357,  19,1473
  -9,  10,  10, -14, -16,   9, 311, 388, 202,  65,  43, -19,  -6,  43, -14,1471
  -7,  11,  10, -16, -15,  11, 308, 389, 203,  68,  45, -19,  -9, -97, -11,1468
 -12,  12,  15, -13, -20,  13, 307, 388, 206,  71,  47, -17,  -8,-307, -20,1465
 -18,  11,  21, -10, -26,  16, 305, 387, 205,  73,  49, -16,  -9,-131, -25,1461
 -25,  12,  28,  -7, -33,  20, 306, 389, 205,  75,  51, -14,  -5, 623,  -6,1457
 -28,  14,  34,  -7, -37,  24, 308, 391, 203,  76,  51, -13,  -5, 371,  -8,1452
 -27,  18,  37,  -9, -38,  28, 307, 388, 202,  77,  52, -14,  -6,-717,   2,1447
 -20,  19,  32, -14, -32,  26, 304, 385, 202,  77,  52, -16,  -5,-507,   5,1442
 -15,  19,  26, -16, -27,  23, 303, 386, 204,  79,  52, -16,  -5,-192,   2,1436
 -13,  19,  24, -17, -25,  21, 305, 389, 206,  81,  52, -16,  -6, 271, -12,1430
 -14,  20,  26, -17, -27,  22, 307, 392, 206,  82,  53, -15,  -9, 436, -25,1424
 -15,  22,  29, -17, -29,  25, 309, 394, 206,  83,  54, -15,  -8, -32,   6,1418
 -14,  23,  30, -18, -29,  26, 310, 396, 206,  84,  54, -14,  -5,-252, -17,1412
 -17,  22,  31, -16, -31,  26, 314, 398, 207,  87,  57, -11, -11, 697, -14,1405
 -20,  19,  32, -13, -33,  25, 317, 401, 209,  90,  60,  -8,  -9,-484,  -5,1398
