   I,   II,  III,  AVR,  AVL,  AVF,   V1,   V2,   V3,   V4,   V5,   V6, RV, MapD, MapP, P 1
 -11, -36, -33,  10,   4, -34, -53, -98,-104, -75, -51, -22,  -9, 377, -26, 891
 -18, -29, -19,  11,  -7, -24, -52, -99,-105, -74, -47, -17,  -8, 376,  -1, 891
 -21, -22,  -8,   9, -14, -14, -53,-102,-105, -73, -44, -14,  -6, -79, -14, 890
 -17, -17,  -6,   4, -13, -11, -58,-105,-106, -75, -44, -13,  -5,-1056,  11, 889
  -9, -17, -14,  -0,  -4, -16, -64,-109,-110, -80, -46, -14,  -5,-277,  20, 888
  -3, -20, -23,  -2,   4, -21, -72,-111,-115, -83, -48, -16,  -5, -49, -28, 887
   1, -22, -30,  -3,   8, -26, -76,-110,-117, -84, -49, -18,  -6, 719, -17, 887
   0, -25, -32,  -1,   9, -28, -78,-109,-115, -84, -48, -18,  -9, 329, -15, 886
  -3, -30, -34,   4,   8, -32, -79,-109,-115, -84, -47, -17,  -8,-253,   2, 886
  -7, -37, -36,   9,   8, -36, -80,-105,-116, -85, -47, -17,  -6, 277,  -5, 885
 -17, -44, -33,  17,   1, -38, -78,-101,-111, -82, -45, -16,  -9,  19, -22, 885
 -25, -50, -32,  24,  -4, -41, -75, -97,-105, -78, -43, -14,  -8,-793,  -9, 884
 -29, -55, -33,  28,  -5, -43, -71, -93,-101, -76, -42, -14,  -6,-419,   5, 883
 -26, -57, -37,  28,  -1, -47, -70, -91,-102, -77, -43, -17,  -6,-150,   3, 882
 -18, -56, -44,  23,   7, -50, -71, -94,-107, -79, -42, -21,  -6, 122, -15, 882
 -11, -54, -50,  20,  13, -52, -72, -99,-112, -83, -47, -28,  -8, 858,   0, 881
  -9, -54, -52,  18,  15, -53, -73,-104,-117, -84, -52, -32,  -8, 141, -20, 881
 -11, -55, -51,  20,  13, -52, -72,-108,-121, -84, -54, -34,  -6, -82,   0, 880
 -14, -57, -50,  22,  11, -53, -74,-112,-125, -87, -57, -35,  -6,  88,   0, 880
 -14, -55, -47,  21,  10, -51, -72,-115,-128, -89, -58, -34,  -6, -48, -20, 879
 -14, -49, -42,  18,   8, -45, -66,-115,-128, -89, -57, -33,  -9,  99, -18, 879
 -15, -42, -33,  15,   3, -37, -62,-111,-123, -86, -52, -28,  -8,  80,  -5, 878
 -16, -38, -28,  13,  -0, -33, -64,-111,-121, -83, -49, -25,  -8,  85, -12, 878
 -12, -35, -29,  10,   2, -32, -67,-112,-120, -82, -48, -22,  -5,-802, -18, 877
  -1, -31, -37,   2,  12, -34, -72,-112,-120, -81, -46, -21,  -5,-178,  -1, 876
   7, -29, -43,  -2,  18, -37, -76,-113,-121, -81, -46, -19,  -6,-184,   2, 875
   9, -31, -46,  -3,  21, -39, -80,-114,-122, -82, -46, -18,  -9, 642,  -5, 875
   5, -33, -45,   0,  18, -39, -82,-113,-120, -82, -46, -16,  -8, 111,   2, 874
   1, -37, -43,   5,  15, -40, -78,-110,-117, -82, -46, -15,  -6,   3,  -6, 874
  -3, -42, -45,   9,  14, -44, -71,-106,-116, -83, -46, -15,  -8, 473, -23, 873
 -13, -50, -43,  18,   8, -46, -65,-102,-113, -81, -44, -12,  -8, -57,  -8, 872
 -20, -56, -42,  25,   4, -49, -61,-100,-111, -79, -43, -11,  -9,-932,  -6, 872
 -26, -62, -41,  31,   1, -52, -59, -99,-111, -80, -45, -13,  -8,-496,  -8, 871
 -27, -65, -44,  32,   2, -55, -57,-101,-114, -82, -48, -15,  -8,-154,   9, 871
 -23, -64, -47,  30,   5, -56, -57,-104,-117, -85, -49, -17,  -6, 141,  -1, 870
 -16, -58, -48,  24,  10, -53, -57,-109,-119, -85, -52, -20,  -6, 875, -22, 869
 -11, -53, -48,  19,  12, -51, -59,-115,-121, -87, -55, -24,  -5, 216,   5, 868
 -10, -50, -46,  16,  12, -48, -60,-119,-123, -88, -58, -26,  -8,  45, -18, 868
 -12, -48, -42,  16,   9, -44, -62,-121,-125, -90, -60, -28,  -8,-113, -26, 867
 -13, -45, -38,  16,   6, -41, -64,-121,-124, -90, -60, -30,  -9,-275, -26, 867
 -16, -45, -35,  17,   3, -39, -64,-119,-123, -89, -60, -31,  -9, 150,  -8, 866
 -21, -45, -31,  20,  -2, -37, -64,-118,-121, -88, -59, -30, -11, 292,   5, 866
 -25, -44, -26,  21,  -6, -35, -65,-117,-120, -86, -57, -29,  -8, 133,   6, 865
 -24, -41, -24,  19,  -7, -32, -68,-118,-120, -86, -56, -30,  -5,-788,  -9, 865
 -16, -37, -27,  13,  -1, -32, -70,-119,-119, -86, -55, -31,  -5,-205,  -8, 864
  -8, -33, -31,   7,   5, -32, -71,-118,-118, -86, -56, -33,  -6,-159,  12, 864
  -4, -30, -32,   3,   7, -31, -71,-113,-116, -87, -58, -36,  -6, 549, -29, 864
  -4, -27, -29,   2,   6, -28, -68,-108,-113, -86, -58, -36,  -8, 334, -22, 864
  -5, -25, -26,   1,   4, -25, -65,-106,-113, -85, -57, -35,  -8, -94,   3, 863
  -6, -25, -25,   2,   3, -25, -61,-102,-113, -86, -57, -34,  -9, 127, -18, 862
 -10, -29, -25,   6,  -0, -27, -59,-100,-111, -84, -56, -30, -11, -22,  12, 862
 -11, -34, -28,   9,   2, -31, -59, -99,-111, -83, -53, -26,  -9,-821,  -8, 862
 -12, -38, -32,  12,   3, -35, -55,-100,-111, -79, -51, -25,  -8,-546, -14, 861
  -9, -40, -37,  11,   7, -39, -56,-102,-114, -81, -53, -28,  -5, -39, -15, 861
  -3, -40, -44,   8,  14, -42, -62,-107,-116, -85, -57, -32,  -6, 184,   8, 860
   3, -40, -49,   5,  19, -44, -69,-111,-118, -88, -61, -36,  -8,1082, -12, 859
   5, -40, -51,   4,  21, -45, -74,-114,-119, -88, -62, -36,  -8, 499, -22, 860
   1, -41, -48,   7,  18, -45, -77,-114,-119, -87, -62, -37,  -6, -86, -20, 859
  -3, -42, -45,  10,  14, -44, -79,-112,-118, -87, -62, -37,  -8,-283,  17, 859
  -6, -42, -42,  11,  11, -42, -80,-111,-118, -85, -59, -34,  -8,-428,  14, 859
 -12, -40, -35,  13,   5, -38, -77,-111,-116, -84, -56, -31,  -9,  19, -25, 858
 -18, -40, -28,  16,  -2, -34, -76,-110,-116, -84, -54, -28,  -8, 209, -23, 858
 -23, -40, -24,  19,  -7, -31, -76,-109,-117, -85, -54, -27,  -6, 164, -15, 858
 -22, -40, -26,  18,  -5, -33, -81,-111,-117, -86, -54, -28,  -5,-865,   3, 857
 -17, -43, -33,  17,   2, -38, -86,-112,-117, -87, -56, -29,  -8,  23,  -5, 857
 -13, -44, -38,  15,   6, -41, -85,-112,-115, -86, -55, -29,  -6,  -5,  -3, 857
  -7, -43, -42,  12,  10, -41, -81,-109,-112, -84, -53, -27,  -8, 507,  -1, 857
  -4, -42, -44,  10,  13, -42, -77,-105,-109, -80, -49, -23,  -8, 237, -23, 856
  -3, -40, -44,   9,  13, -41, -74,-102,-107, -76, -46, -20,  -8,-210, -25, 856
  -1, -40, -45,   7,  15, -42, -70, -98,-105, -74, -43, -16,  -8,  45, -26, 856
  -4, -41, -43,   9,  13, -42, -67, -94,-102, -70, -39, -11,  -8,  57,   3, 855
  -5, -42, -43,  10,  13, -42, -64, -93,-100, -68, -36,  -7,  -8,-737,  14, 855
  -6, -45, -46,  12,  13, -45, -61, -90, -98, -67, -35,  -5,  -5,-501,  -5, 854
  -4, -48, -51,  13,  17, -49, -60, -89,-102, -70, -37,  -8,  -6,  16,  -3, 854
   2, -47, -55,   9,  22, -51, -65, -92,-107, -74, -41, -13,  -8, 420,   2, 853
   7, -45, -58,   6,  26, -52, -69, -97,-110, -76, -46, -18,  -6, 906, -12, 853
   8, -44, -58,   6,  27, -52, -73,-101,-112, -76, -48, -21,  -8,  88, -15, 852
   6, -43, -55,   6,  25, -50, -75,-102,-110, -74, -47, -21,  -9, -46, -18, 852
   3, -41, -50,   6,  20, -45, -75,-102,-107, -71, -45, -20,  -9,-179, -17, 851
  -1, -38, -44,   6,  15, -41, -75, -99,-104, -71, -44, -18,  -8,-388, -11, 851
